Gene	Deletion 0bp microhomology	Deletion 1bp microhomology	Deletion 2bp microhomology	Deletion with insertion	Homology Directed Repair	Any Insertion	Deletion 3+bp microhomology
0610009B22Rik	0.08088506275230657	0.19084012605620385	0.18155143924905606	0.10593931028313666	0.16244403575857713	0.245306958746995	0.03303306715372469
0610010K14Rik	0.07218903139372279	0.194622599625634	0.1734550863211058	0.09872484545720372	0.14833759922424827	0.27566506201306684	0.037005775965018695
0610030E20Rik	0.07153399585109747	0.18788345479628196	0.19725477618168136	0.09546663209284359	0.1413128488439001	0.2643160752887536	0.042232216945441985
0610040J01Rik	0.05590489017882749	0.17634463566612701	0.18862158813698107	0.100736964906032	0.14948547224619602	0.29848353345533973	0.030422915410496482
1110004F10Rik	0.0672969877881919	0.18421639454094874	0.18867839605909462	0.08693968401325049	0.15436001809401373	0.26609176061967205	0.05241675888482854
1110017D15Rik	0.07354580725197962	0.17674042426049624	0.1718706571064024	0.09731053033534875	0.15401856289741628	0.2869768153846293	0.03953720276372733
1110032A03Rik	0.08766767465510883	0.1963010403743048	0.18159869787054758	0.08982138596920046	0.16344990579173715	0.2521362567693728	0.02902503856972846
1110032F04Rik	0.0683456085848881	0.18816224723589264	0.17491888651486687	0.09179765529608709	0.1759332086735704	0.26505314069732666	0.03578925299736831
1110059E24Rik	0.08527765034444339	0.2051396132234896	0.19270550549276597	0.0661686176051337	0.11863520496118746	0.2918225512974381	0.040250857075541796
1110059G10Rik	0.06854312615412873	0.18471706012314054	0.1779933119586412	0.10145349182941772	0.15046588776587597	0.28293516894220094	0.03389195322659484
1110065P20Rik	0.08976661097252327	0.20688274048037472	0.1724652538764228	0.11122052098274368	0.1255635445643889	0.2665752717820739	0.027526057341472673
1190005I06Rik	0.07066097639055985	0.19165848431781468	0.1805312586045518	0.10257695358306555	0.14661674563861748	0.2640236090580117	0.04393197240737889
1190007I07Rik	0.07415817163649395	0.18649984945563144	0.18880513624687917	0.1023277930763887	0.13205009042434634	0.2836107659307494	0.032548193229510844
1600012H06Rik	0.07002664771523047	0.1921923351075656	0.17486841352640334	0.10193999452570204	0.14519060457348398	0.27394098612503825	0.04184101842657625
1600014C23Rik	0.07682112238779214	0.18340574535826223	0.18541943265053534	0.09663949591721786	0.15023324248865705	0.26711577023024097	0.04036519096729438
1700001C19Rik	0.07215784589785909	0.18717807781323592	0.18580189119803892	0.10071597598496068	0.15540874333269605	0.2607424892511057	0.037994976522103575
1700001J03Rik	0.07372987079183795	0.16790070521564085	0.19269962687218917	0.10799150600993404	0.15067015595200908	0.2734290273224879	0.0335791078359009
1700001K19Rik	0.062304830757010425	0.18929443960907583	0.19509723851341407	0.09627366060266664	0.17481646551034305	0.2498820037786304	0.03233136122885961
1700001L19Rik	0.06477450558358927	0.17890687109854483	0.18547475506310854	0.10674140713257985	0.1579356356161469	0.27048495031731995	0.035681875188710556
1700001O22Rik	0.06951199964453561	0.1826923791914425	0.18893839655545505	0.10285211203180028	0.15558159686518472	0.2597668260499687	0.04065668966161313
1700001P01Rik	0.06494604066597479	0.17563317500686731	0.1947263253837004	0.09205532163831356	0.15140472098027188	0.2884144251645296	0.03281999116034238
1700003E16Rik	0.06520136299417419	0.183472166876871	0.1899257216787137	0.09489016185196954	0.16207293505207765	0.25961758741640956	0.044820064129784294
1700003F12Rik	0.06781533187912378	0.19132163204740243	0.17488810868811208	0.10251039930513271	0.14911772932606468	0.27275141469351166	0.041595384060652746
1700006A11Rik	0.06848635685679447	0.1996703593862591	0.20684891197683158	0.09988776513275428	0.1454180667758569	0.24771332951914257	0.031975210352360936
1700008O03Rik	0.06463081511045483	0.17099240828390871	0.17990419501642002	0.10354180892525779	0.16954946038500066	0.27043825764983487	0.04094305462912317
1700008P02Rik	0.07406770710728855	0.18992941424473087	0.1850629857444632	0.09753289848956576	0.164367319062866	0.25882155626114445	0.03021811908994124
1700009N14Rik	0.06430371410066947	0.191507057154669	0.19003009229447435	0.08673475761738603	0.15595220917459407	0.27714068599911795	0.034331483659089244
