Gene	Deletion 0bp microhomology	Deletion 1bp microhomology	Deletion 2bp microhomology	Deletion with insertion	Homology Directed Repair	Any Insertion	Deletion 3+bp microhomology
0610009B22Rik	0.09790129634360106	0.14136535170232437	0.16312108176001047	0.08258173713983454	0.18259964257218705	0.10212197698776514	0.23030891349427746
0610010K14Rik	0.09725465801592903	0.1378333387554786	0.16454079515125253	0.08735296096006383	0.17891646132679925	0.09528581658933664	0.23881596920114004
0610030E20Rik	0.11303797939563778	0.1416528830393282	0.16082493415298896	0.08004390546216075	0.16337579426443655	0.08933224255717759	0.25173226112827035
0610040J01Rik	0.10264573838275816	0.13816847839095775	0.18418670194135758	0.08791308352418593	0.13776212839806604	0.10069207098268852	0.24863179837998595
1110004F10Rik	0.09060584321534282	0.13420000259539117	0.15793294327825394	0.07319433403307908	0.20968110673051005	0.08799271042151612	0.2463930597259068
1110017D15Rik	0.10856038223495168	0.139383473411533	0.1716217858005891	0.08193657324623196	0.1780767669287735	0.09339124272094496	0.2270297756569757
1110032A03Rik	0.08579598814412856	0.12902942778116147	0.18162200455046562	0.06779406619496696	0.16405044780712819	0.10678566346994339	0.26492240205220574
1110032F04Rik	0.09673813344628637	0.1473296822796015	0.14906549883413908	0.09033380860969648	0.18102004349628567	0.10893112802758448	0.22658170530640637
1110059G10Rik	0.08339552250425283	0.13774716989036642	0.1559020223927099	0.0719455708634078	0.18455759032887714	0.09930326020190558	0.26714886381848024
1110065P20Rik	0.1175324149600235	0.12744263984261858	0.18037264867368555	0.05665645093793263	0.21583537799654456	0.11041034300127416	0.19175012458792107
1190005I06Rik	0.10809778285266251	0.15097983496823747	0.1546745976868239	0.08919193246648201	0.19059447540803306	0.09307528872284584	0.2133860878949152
1190007I07Rik	0.0868623816237326	0.13778751219397833	0.19409878691493598	0.08127724992413646	0.16787172115093682	0.10746511173093211	0.2246372364613476
1600012H06Rik	0.08767663314560728	0.1403684920828021	0.17258719117978366	0.08341269242997643	0.1672697098692937	0.1118113267460952	0.2368739545464415
1600014C23Rik	0.092263866918159	0.12532505589572224	0.16153882493864208	0.0891276520386834	0.18985501863601412	0.10743604140418726	0.23445354016859188
1700001C19Rik	0.10301571799899831	0.1417597668925274	0.14539047360421545	0.08299766300419398	0.19365483183533574	0.10233975710872067	0.23084178955600848
1700001J03Rik	0.0912887655039543	0.14432486255915294	0.15594196843117278	0.07769570382091306	0.22321836218342483	0.08992161679415099	0.217608720707231
1700001K19Rik	0.10138273109600612	0.13783083437484142	0.16535162245018797	0.07741875606287396	0.1937026761995624	0.10641341687085402	0.21789996294567407
1700001L19Rik	0.09462971299094745	0.12371957666442604	0.15793260526554653	0.09063175229916882	0.2017916125526222	0.0957857417294618	0.23550899849782717
1700001O22Rik	0.09375581024960312	0.14564474568941288	0.15950682974275254	0.08776186940128321	0.19456491653435873	0.09807397858293215	0.22069184979965745
1700001P01Rik	0.11138756999468834	0.13232681549871014	0.15710725914221477	0.07747766576839339	0.20142070467865864	0.10656255518402748	0.21371742973330732
1700003E16Rik	0.09309619986228185	0.13431103505156863	0.15813855407767544	0.08122602784127395	0.2078927867525844	0.10566913280381894	0.21966626361079666
1700003F12Rik	0.10065966041689547	0.13678380604598905	0.16486549576336515	0.08999546048887419	0.18555381560361953	0.09581256961980812	0.22632919206144844
1700006A11Rik	0.08090950506187247	0.13865782161488488	0.15769330233270895	0.08393232805895591	0.2053590802996395	0.10564402983464267	0.2278039327972956
1700008O03Rik	0.10168908541802929	0.14558878208928253	0.17304626219490785	0.07709260436955075	0.19785225097534154	0.08355625155638777	0.22117476339650033
1700008P02Rik	0.09988842716454331	0.124860684986938	0.15534390581951152	0.08470084240720512	0.22607975866212476	0.09170844764482307	0.21741793331485423
1700009N14Rik	0.09463031365321406	0.17036033965851075	0.16323769943328517	0.08023307501213986	0.20224466415505932	0.09994415986219199	0.1893497482255988
1700010B08Rik	0.10675841844646189	0.15209861052182333	0.16168613602509327	0.07888442494482227	0.16455096913320327	0.09384259361703333	0.24217884731156253
1700010D01Rik	0.09663743400184331	0.15003691161900728	0.1706303664670151	0.08042744804345299	0.16632633157795854	0.10464906621695386	0.2312924420737688
1700010I14Rik	0.10153846757123185	0.1378061720977721	0.15306150256064424	0.08250069146135436	0.19228045039065206	0.0966680841635067	0.23614463175483874
