Gene	Deletion 0bp microhomology	Deletion 1bp microhomology	Deletion 2bp microhomology	Deletion with insertion	Homology Directed Repair	Any Insertion	Deletion 3+bp microhomology
0610009B22Rik	0.06082156646589121	0.19406277035550296	0.2582811402904651	0.13075627343044105	0.17677235142882092	0.07741542597940342	0.10189047204947535
0610010K14Rik	0.0691110507669322	0.19738554955435608	0.2544201533173981	0.1368505869792913	0.164657278307296	0.07245278402117225	0.10512259705355408
0610030E20Rik	0.06098090223784432	0.2146508798658324	0.24583371005205565	0.1424450412257975	0.16424834674235317	0.07059658942664539	0.10124453044947161
0610040J01Rik	0.0680495869706132	0.18870483957553497	0.2661374762279974	0.12314909161881715	0.1778015948013637	0.07091420759103993	0.10524320321463362
1110004F10Rik	0.05623951879643285	0.21224049736367098	0.23487595260562566	0.1402558201207265	0.16654180187629924	0.07782995213920897	0.11201645709803577
1110017D15Rik	0.06649381567664595	0.23619347974910795	0.24188186084015348	0.1325794748221097	0.15612138315847182	0.0783120310867492	0.08841795466676199
1110032A03Rik	0.07517589303266657	0.20657650229990288	0.2446298893819338	0.1341718605331861	0.16940403353676048	0.06853965170022774	0.10150216951532223
1110032F04Rik	0.059310233485200724	0.21062455889046905	0.25335562797767086	0.1215560687577737	0.16255727679551304	0.07180498136303914	0.1207912527303335
1110059E24Rik	0.05437852842696707	0.20805437823344997	0.28854845320295064	0.14558752884700274	0.15331580250253177	0.08108652636245083	0.06902878242464683
1110059G10Rik	0.06458282400294044	0.20496518979660078	0.2371724058948137	0.15674240224990654	0.1619122444554276	0.06693046127303283	0.10769447232727808
1110065P20Rik	0.06692299817634119	0.22995368125815077	0.24965849573797627	0.13239684521380465	0.1674473855226298	0.07035742908077969	0.08326316501031758
1190005I06Rik	0.06061601653266551	0.21896499213501258	0.23795439487203782	0.1379087075619163	0.1549460631649687	0.08210198099529173	0.10750784473810743
1190007I07Rik	0.06289916385054925	0.21709783817057726	0.2580852669450013	0.12801995798153756	0.15274063582432887	0.0731361250009555	0.10802101222705031
1600012H06Rik	0.05675624757784559	0.21385032489939634	0.2576343220984929	0.13243864406391578	0.15939478172387797	0.06918174907182177	0.11074393056464966
1600014C23Rik	0.0662344467921728	0.19869107123311192	0.2508819971443235	0.13802846240342945	0.1668308695820158	0.07682677727691356	0.10250637556803292
1700001C19Rik	0.06704226439677782	0.20609488401135712	0.244745788890843	0.13027137755194002	0.17965013733839427	0.07232788806495835	0.09986765974572943
1700001J03Rik	0.05628996915523423	0.22412054393411182	0.2666651473783465	0.11239613423795154	0.17452635647634934	0.06916492042489378	0.09683692839311281
1700001K19Rik	0.0659376095697964	0.2107502567037152	0.27629858691045867	0.12015286247728295	0.1532650829287465	0.08079910877384588	0.0927964926361544
1700001L19Rik	0.057365595625491386	0.20220332151805093	0.24984102518746298	0.13592090818628197	0.17550973443940526	0.07631762139748316	0.10284179364582431
1700001O22Rik	0.06062843604648793	0.197127622244408	0.25047537802716974	0.14380745425904085	0.17297541868655775	0.07648920731700014	0.0984964834193355
1700001P01Rik	0.05747529915165961	0.2138801133800788	0.24708661940652438	0.13343615952700363	0.16955802012393112	0.07589296723262587	0.10267082117817668
1700003E16Rik	0.058404144862857166	0.21203561564787327	0.24528434087398526	0.12865760149922897	0.1772394574248712	0.07415923070960005	0.104219608981584
1700003F12Rik	0.0644846567947159	0.2042710014854865	0.263045733894916	0.12843577910627815	0.16142504795937881	0.07202029867884356	0.1063174820803811
